RuleSet	Average Value,	Connectedness	Chaos
269	34.656	24.342	0.0
270	19.187	-7.859000000000000	0.0
271	19.059	-7.357000000000000	0.0
272	18.714	-7.390000000000000	0.0
273	19.309	-8.114	0.0
274	19.718	-8.066	0.0
275	19.456	-8.033	0.0
276	18.349	-7.083	0.0
277	18.931	-7.344000000000000	0.0
278	18.701	-7.206000000000000	0.0
279	19.155	-7.916	0.0
280	19.622	-7.941000000000000	0.0
281	19.283	-7.563000000000000	0.0
282	18.746	-7.569000000000000	0.0
283	18.253	-7.138	0.0
284	18.842	-7.548000000000000	0.0
285	18.982	-7.704000000000000	0.0
286	19.245	-7.921000000000000	0.0
287	19.053	-7.6320000000000000	0.0
288	18.342	-6.797000000000000	0.0
289	18.355	-7.123000000000000	0.0
290	17.818	-6.490000000000000	0.0
291	18.56	-7.732000000000000	0.0
292	18.694	-7.183	0.0
293	18.63	-7.289	0.0
294	17.53	-6.2620000000000000	0.0
295	17.83	-6.398000000000000	0.0
296	17.542	-6.428000000000000	0.0
297	49.594	23.535000000000000	0.006
298	38.445	23.327000000000000	0.026
299	56.045	22.652	0.0
300	13.773	7.498000000000000	0.096
301	13.818	6.544000000000000	0.128
302	12.941	4.165000000000000	0.058
303	57.786	23.746000000000000	0.0
304	39.904	23.302	0.909
305	60.39	22.83	0.026
306	15.392	-3.3230000000000000	0.0
307	15.501	-3.9660000000000000	0.0
308	15.354	-3.0830000000000000	0.0
309	16.685	-4.290000000000000	0.0
310	16.589	-4.345000000000000	0.013
311	16.224	-4.3310000000000000	0.0
312	14.701	-2.8870000000000000	0.0
313	15.123	-3.5120000000000000	0.0
314	15.085	-2.0550000000000000	0.0
315	70.08	17.047000000000000	0.058
316	48.998	17.976000000000000	0.333
317	70.394	18.45300000000000	0.038
318	14.957	19.259	0.755
319	14.726	11.388	0.23
320	14.125	19.699000000000000	1.357
321	71.923	17.904000000000000	0.038
322	37.261	28.427	3.04
323	75.206	16.432000000000000	0.026
324	12.659	-4.766000000000000	0.0
325	12.506	-4.881	0.0
326	12.16	-4.772	0.0
327	13.158	-4.938000000000000	0.0
328	13.811	-5.835	0.0
329	13.466	-4.976000000000000	0.0
330	12.224	-4.665	0.0
331	13.139	-4.5540000000000000	0.0
332	12.416	-4.375	0.0
333	14.746	-5.621	0.0
334	14.906	-5.938000000000000	0.0
335	14.63	-5.755000000000000	0.0
336	15.078	-5.724	0.0
337	15.322	-5.610000000000000	0.0
338	15.034	-5.546000000000000	0.0
339	14.426	-5.875	0.0
340	14.758	-5.922000000000000	0.0
341	14.95	-5.912000000000000	0.0
342	13.088	-4.072000000000000	0.0
343	13.626	-4.778000000000000	0.0
344	12.928	-4.562000000000000	0.0
345	14.31	-5.818	0.0
346	14.771	-5.808000000000000	0.0
347	14.144	-5.309000000000000	0.0
348	12.48	-4.736000000000000	0.0
349	13.03	-5.104000000000000	0.0
350	11.821	-3.923	0.0
351	10.49	-3.2750000000000000	0.0
352	9.965	-3.7750000000000000	0.0
353	10.259	-3.561	0.0
354	11.014	-4.114000000000000	0.0
355	11.168	-3.689000000000000	0.0
356	10.803	-3.5760000000000000	0.0
357	10.925	-4.107000000000000	0.0
358	11.322	-3.705000000000000	0.0
359	11.136	-3.377000000000000	0.0
360	8.506	-2.816	0.0
361	8.845	-3.2010000000000000	0.0
362	8.186	-2.8500000000000000	0.0
363	6.81	-2.3100000000000000	0.0
364	6.618	-1.8790000000000000	0.0
365	7.866	-2.9030000000000000	0.0
366	10.112	-3.277	0.0
367	9.754	-3.2830000000000000	0.0
368	9.901	-3.364	0.0
369	13.664	-5.110000000000000	0.038
370	13.914	-5.243	0.0
371	13.926	-5.051	0.0
372	13.997	-4.761000000000000	0.013
373	14.451	-5.001000000000000	0.0
374	14.394	-5.540000000000000	0.0
375	14.547	-5.176	0.0
376	14.221	-5.1690000000000000	0.0
377	14.477	-5.243	0.0
378	13.786	-4.93	0.051
379	14.675	-5.391	0.064
380	14.566	-5.438000000000000	0.038
381	15.29	-6.160000000000000	0.038
382	15.974	-6.043000000000000	0.051
383	16.064	-6.203000000000000	0.07
384	13.715	-4.487	0.077
385	13.875	-4.586	0.038
386	13.357	-4.918000000000000	0.026
387	16.435	-6.281000000000000	0.038
388	16.909	-6.883000000000000	0.051
389	16.998	-6.908000000000000	0.058
390	17.248	-7.016000000000000	0.038
391	16.96	-6.691000000000000	0.026
392	17.184	-6.788	0.032
393	16.71	-6.364000000000000	0.051
394	16.73	-6.511000000000000	0.058
395	16.506	-6.255000000000000	0.026
396	11.52	-3.069000000000000	0.038
397	13.664	-3.9800000000000000	0.083
398	11.942	-2.9450000000000000	0.102
399	14.694	-5.183000000000000	0.16
400	14.752	-5.2620000000000000	0.058
401	14.63	-5.367000000000000	0.064
402	10.65	-2.319000000000000	0.102
403	12.666	-3.7090000000000000	0.026
404	10.931	-1.5490000000000000	0.224
405	76.813	0.8310000000000030	0.41
406	71.315	-0.13100000000000000	0.89
407	81.53	2.596999999999990	0.352
408	35.725	16.689	9.562
409	35.162	16.815000000000000	9.792
410	31.866	17.162	11.52
411	90.24	2.5190000000000100	0.07
412	72.762	-0.6539999999999960	4.602
413	91.955	3.3090000000000000	0.333
414	15.309	5.881000000000000	4.07
415	14.803	5.149000000000000	3.488
416	14.694	4.742000000000000	2.918
417	14.605	3.3010000000000000	2.778
418	14.963	4.0920000000000000	3.002
419	14.381	3.9320000000000000	2.925
420	17.184	10.018	5.402
421	16.698	8.776	5.088
422	16.762	9.928	5.754
423	89.894	0.7729999999999960	0.0
424	76.71	-3.3699999999999900	0.32
425	94.477	1.7839999999999900	0.0
426	59.987	4.145000000000000	25.613
427	51.43	9.003	24.269
428	62.637	3.3970000000000100	29.664
429	96.307	1.1469999999999900	0.0
430	71.302	4.160000000000000	19.014
431	97.83	1.3060000000000000	0.0
